"","date","tweet_count"
"1",2018-01-08,69000
"2",2018-01-09,2e+05
"3",2018-01-10,163000
"4",2018-01-11,210000
"5",2018-01-12,256000
"6",2018-01-13,185000
"7",2018-01-14,147000
"8",2018-01-15,119000
"9",2018-01-16,169000
"10",2018-01-17,176000
"11",2018-01-18,209000
"12",2018-01-19,179000
"13",2018-01-20,274000
"14",2018-01-21,124000
"15",2018-01-22,185000
"16",2018-01-23,110000
"17",2018-01-24,109000
"18",2018-01-25,86000
"19",2018-01-26,49000
"20",2018-01-27,NA
"21",2018-01-28,NA
"22",2018-01-29,NA
"23",2018-01-30,NA
"24",2018-01-31,194000
"25",2018-02-01,197000
"26",2018-02-02,163000
"27",2018-02-03,73000
"28",2018-02-04,98000
"29",2018-02-05,210000
"30",2018-02-06,215000
"31",2018-02-07,157000
"32",2018-02-08,156000
"33",2018-02-09,104000
"34",2018-02-10,117000
"35",2018-02-11,85000
"36",2018-02-12,127000
"37",2018-02-13,135000
"38",2018-02-14,NA
"39",2018-02-15,NA
"40",2018-02-16,NA
"41",2018-02-17,NA
"42",2018-02-18,NA
"43",2018-02-19,NA
"44",2018-02-20,NA
"45",2018-02-21,NA
"46",2018-02-22,NA
"47",2018-02-23,NA
"48",2018-02-24,NA
"49",2018-02-25,NA
"50",2018-02-26,NA
"51",2018-02-27,NA
"52",2018-02-28,NA
"53",2018-03-01,NA
"54",2018-03-02,NA
"55",2018-03-03,NA
"56",2018-03-04,NA
"57",2018-03-05,NA
"58",2018-03-06,NA
"59",2018-03-07,NA
"60",2018-03-08,NA
"61",2018-03-09,NA
"62",2018-03-10,NA
"63",2018-03-11,NA
"64",2018-03-12,NA
"65",2018-03-13,NA
"66",2018-03-14,NA
"67",2018-03-15,NA
"68",2018-03-16,NA
"69",2018-03-17,NA
"70",2018-03-18,NA
"71",2018-03-19,NA
"72",2018-03-20,NA
"73",2018-03-21,NA
"74",2018-03-22,NA
"75",2018-03-23,NA
"76",2018-03-24,NA
"77",2018-03-25,NA
"78",2018-03-26,NA
"79",2018-03-27,NA
"80",2018-03-28,NA
"81",2018-03-29,NA
"82",2018-03-30,NA
"83",2018-03-31,NA
"84",2018-04-01,NA
"85",2018-04-02,NA
"86",2018-04-03,NA
"87",2018-04-04,NA
"88",2018-04-05,NA
"89",2018-04-06,NA
"90",2018-04-07,52000
"91",2018-04-08,110000
"92",2018-04-09,164000
"93",2018-04-10,148000
"94",2018-04-11,129000
"95",2018-04-12,2e+05
"96",2018-04-13,150000
"97",2018-04-14,65000
"98",2018-04-15,62000
"99",2018-04-16,83000
"100",2018-04-17,88000
"101",2018-04-18,146000
"102",2018-04-19,80000
"103",2018-04-20,59000
"104",2018-04-21,49000
"105",2018-04-22,37000
"106",2018-04-23,103000
"107",2018-04-24,90000
